NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06532812,TIL Gean Therapy Combined With Immunotherapy for Advanced or Metastatic Refractory Breast Cancer,https://clinicaltrials.gov/study/NCT06532812,RECRUITING,Breast Cancer|Breast Carcinoma|Breast Cancer Metastatic|Breast Cancer Triple Negative,BIOLOGICAL: Tumor Infiltrating Lymphocytes (TIL)|DRUG: Cyclophosphamid|DRUG: Fludarabine|DRUG: Interleukin-2|DRUG: Pembrolizumab,Essen Biotech,,INTERVENTIONAL
NCT05563220,Open-Label Umbrella Study To Evaluate Safety And Efficacy Of Elacestrant In Various Combination In Participants With Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT05563220,RECRUITING,Breast Cancer|Metastatic Breast Cancer,DRUG: Elacestrant|DRUG: Alpelisib|DRUG: Everolimus|DRUG: Ribociclib|DRUG: Palbociclib|DRUG: Capivasertib|DRUG: Abemaciclib,"Stemline Therapeutics, Inc.",,INTERVENTIONAL
NCT07080619,SC-101 in Subjects With Advanced NECTIN4-Amplified Cancers,https://clinicaltrials.gov/study/NCT07080619,NOT_YET_RECRUITING,TNBC - Triple-Negative Breast Cancer|HR+ Breast Cancer,DRUG: SC-101,"Tianjin ConjuStar Biologics Co., Ltd.",,INTERVENTIONAL
NCT07136974,Efficacy of TQB2102 Versus TCbHP in Neoadjuvant Therapy for HER2-positive Early Breast Cancer.,https://clinicaltrials.gov/study/NCT07136974,NOT_YET_RECRUITING,Breast Cancer|HER2 + Breast Cancer,DRUG: TQB2102|DRUG: Docetaxel + Carboplatin + Trastuzumab +Pertuzumab,Henan Cancer Hospital,,INTERVENTIONAL
NCT03201861,Addition of Cisplatin to Adjuvant Chemotherapy for Early Stage Breast Cancer in High-Risk Women,https://clinicaltrials.gov/study/NCT03201861,RECRUITING,Tubular Breast Cancer|Mucinous Breast Cancer|Invasive Duct Carcinoma of Breast,"DRUG: Paclitaxel, Cisplatin|DRUG: EC to docetaxel or paclitaxel",RenJi Hospital,,INTERVENTIONAL
NCT06048718,T-DXd Therapy for HER2-low Breast Cancer Patients With Brain Metastases,https://clinicaltrials.gov/study/NCT06048718,RECRUITING,Breast Cancer|Metastatic Breast Cancer,DRUG: Trastuzumab-Deruxtecan (T-DXd),MedSIR,Daiichi Sankyo,INTERVENTIONAL
NCT05952557,An Adjuvant Endocrine-based Therapy Study of Camizestrant (AZD9833) in ER+/HER2- Early Breast Cancer (CAMBRIA-2),https://clinicaltrials.gov/study/NCT05952557,RECRUITING,"Breast Cancer, Early Breast Cancer",DRUG: Camizestrant|DRUG: Tamoxifen|DRUG: Anastrozole|DRUG: Letrozole|DRUG: Exemestane|DRUG: Abemaciclib,AstraZeneca,Austrian Breast and Colorectal Cancer Study Group (ABCSG),INTERVENTIONAL
NCT06508216,"A Study to Explore Safety, Tolerability, Pharmacokinetics, and Anti-tumor Activity of Novel Therapeutics in Patients With Early Relapsed Metastatic Triple-negative Breast Cancer",https://clinicaltrials.gov/study/NCT06508216,RECRUITING,Breast Cancer,DRUG: Dato-DXd|DRUG: Durvalumab,"Gustave Roussy, Cancer Campus, Grand Paris",AstraZeneca,INTERVENTIONAL
NCT06568705,Hypofractionated Online Adaptive Radiotherapy of Breast Cancer,https://clinicaltrials.gov/study/NCT06568705,RECRUITING,Breast Cancer,RADIATION: Moderate hypofractionated Radiation Treatment|RADIATION: Ultrafractionated Radiation Treatment,Peking Union Medical College Hospital,,INTERVENTIONAL
NCT07123649,Individualizing Approaches to Surveillance Mammography in Older Breast Cancer Survivors - The I-MAMMO Study,https://clinicaltrials.gov/study/NCT07123649,NOT_YET_RECRUITING,Breast Cancer,BEHAVIORAL: Shared Decision-Making Toolkit,Dana-Farber Cancer Institute,National Institute on Aging (NIA),INTERVENTIONAL
NCT06157892,A Study of Disitamab Vedotin With Other Anticancer Drugs in Solid Tumors,https://clinicaltrials.gov/study/NCT06157892,RECRUITING,Breast Neoplasms|Gastroesophageal Junction Adenocarcinoma|HER2 Low Breast Neoplasms|HER2 Positive Breast Neoplasms|Stomach Neoplasms|Triple Negative Breast Neoplasms|Metastatic Breast Cancer|Metastatic Gastric Cancer|Advanced Breast Cancer|Advanced Gastric Cancer,DRUG: disitamab vedotin|DRUG: tucatinib,"Seagen, a wholly owned subsidiary of Pfizer","RemeGen Co., Ltd.",INTERVENTIONAL
NCT07164976,Ribociclib for HR-positive HER2-negative Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT07164976,NOT_YET_RECRUITING,Breast Cancer,DRUG: Ribociclib 400mg|DRUG: Ribociclib 600mg|DRUG: Ribociclib 600mg,Nagoya City University,Novartis,INTERVENTIONAL
NCT05774951,A Study of Camizestrant in ER+/HER2- Early Breast Cancer After at Least 2 Years of Standard Adjuvant Endocrine Therapy,https://clinicaltrials.gov/study/NCT05774951,RECRUITING,"Breast Cancer, Early Breast Cancer",DRUG: Camizestrant|DRUG: Tamoxifen|DRUG: Anastrozole|DRUG: Letrozole|DRUG: Exemestane,AstraZeneca,,INTERVENTIONAL
NCT07113613,Prospective Study on Exemption of Tumor Bed Boost Radiotherapy for pCR Patients After Breast Conserving Surgery With Neoadjuvant Therapy,https://clinicaltrials.gov/study/NCT07113613,RECRUITING,Breast Cancer,RADIATION: Exemption from additional radiotherapy on the tumor bed after surgery,The First Affiliated Hospital with Nanjing Medical University,,INTERVENTIONAL
NCT06797622,Heterogeneity of 68Ga-FAPI Uptake As Imaging Biomarker in T-DXd Treatment for Brain Metastasis of HER2 Positive Breast Cancer,https://clinicaltrials.gov/study/NCT06797622,NOT_YET_RECRUITING,Breast Cancer|Metastatic Breast Cancer,DRUG: Trastuzumab deruxtecan (T-DXd),Fudan University,,INTERVENTIONAL
NCT06223698,Optimizing Extended Adjuvant Endocrine Therapy in Patients With Breast Cancer,https://clinicaltrials.gov/study/NCT06223698,NOT_YET_RECRUITING,Breast Cancer,DRUG: Letrozole|DRUG: Anastrozole|DRUG: Exemestane|DRUG: Tamoxifen,Region Örebro County,"Mid-Sweden Regional Cancer Centre|Akademiska University Hospital, Uppsala, Sweden",INTERVENTIONAL
NCT06449222,"Safety and Preliminary Effectiveness of BNT327, an Investigational Therapy for Breast Cancer, When Given in Combination With Chemotherapy",https://clinicaltrials.gov/study/NCT06449222,RECRUITING,Locally Advanced Breast Cancer|Triple Negative Breast Cancer|Metastatic Triple Negative Breast Cancers,DRUG: BNT327 Dose Level 1 (DL1)|DRUG: BNT327 Dose Level 1 (DL2)|DRUG: Nab-placlitaxel|DRUG: Carboplatin|DRUG: Gemcitabine|DRUG: Paclitaxel|DRUG: Eribulin|DRUG: BNT327 Optimized Dose|DRUG: BNT327 Equivalent Q3W Dose,BioNTech SE,,INTERVENTIONAL
NCT05949541,Efficacy of Everolimus Combined With First-line Endocrine Therapy for HR+/HER2- SNF1-subtype Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT05949541,RECRUITING,Breast Cancer|Advanced Breast Cancer,DRUG: Everolimus 10 mg|DRUG: CDK4/6 Inhibitor SHR6390|DRUG: Aromatase inhibitor and Fulvestrant combined with CDK4/6 inhibitors,Fudan University,,INTERVENTIONAL
NCT06840483,Study of Zelenectide Pevedotin in Participants With Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT06840483,RECRUITING,Breast Cancer,DRUG: Zelenectide pevedotin (BT8009),BicycleTx Limited,,INTERVENTIONAL
NCT06914440,Neoadjuvant SBRT Followed by Nab-Paclitaxel Combined With Toripalimab in HR+/HER2- Breast Cancer,https://clinicaltrials.gov/study/NCT06914440,RECRUITING,Breast Cancer,RADIATION: Stereotactic Body Radiation Therapy (SBRT)|DRUG: Toripalimab|DRUG: Neoadjuvant Chemotherapy|PROCEDURE: Surgery|DRUG: Adjuvant Chemotherapy|RADIATION: Adjuvant Radiotherapy|DRUG: Endocrine therapy,Xijing Hospital,,INTERVENTIONAL
NCT06677879,A Prospective Cohort Study of Proton and Photon Therapy for Left-sided Breast Cancer.,https://clinicaltrials.gov/study/NCT06677879,RECRUITING,Breast Cancer,RADIATION: Proton radiotherapy|RADIATION: Photon radiotherapy,Shanghai Proton and Heavy Ion Center,,INTERVENTIONAL
NCT06787339,Capecitabine in Low Risk Triple Negative Breast Cancer,https://clinicaltrials.gov/study/NCT06787339,NOT_YET_RECRUITING,Breast Cancer,DRUG: Capecitabine,Fudan University,,INTERVENTIONAL
NCT06775236,Clinical Trial of SYS6010±SYH2051 Versus Chemotherapy in Advanced Breast Cancer and Other Solid Tumors,https://clinicaltrials.gov/study/NCT06775236,NOT_YET_RECRUITING,Advanced Solid Tumors|Breast Cancer,DRUG: SYS6010 jnjection|DRUG: monotherapy chemotherapy|DRUG: SYH2051 tablets,"CSPC Megalith Biopharmaceutical Co.,Ltd.",,INTERVENTIONAL
NCT07292142,FMT in Triple Negative Breast Cancer Guided by ctDNA,https://clinicaltrials.gov/study/NCT07292142,NOT_YET_RECRUITING,Breast Cancer,DRUG: Fecal Microbiota Transplantation (FMT)|OTHER: No Intervention.,Jewish General Hospital,,INTERVENTIONAL
NCT06452394,NEODOXy: Targeting Breast Cancer Stem Cells With Doxycycline,https://clinicaltrials.gov/study/NCT06452394,RECRUITING,Breast Cancer,DRUG: Doxycyclin,Swiss Cancer Institute,,INTERVENTIONAL
NCT05394285,A Clinical Study of Hetrombopag Olamine Tablets for Thrombocytopenia Induced by Anti-tumor Treatment in Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT05394285,RECRUITING,Breast Cancer,DRUG: Hetrombopag,Henan Cancer Hospital,"Jiangsu HengRui Medicine Co., Ltd.",INTERVENTIONAL
NCT07107217,Camrelizumab in Combination With Chemotherapy as Neoadjuvant Treatment in Patients With Early or Locally Advanced Triple-negative Breast Cancer,https://clinicaltrials.gov/study/NCT07107217,NOT_YET_RECRUITING,Breast Cancer,DRUG: Camrelizumab|DRUG: Doxorubicin +cyclophosphamide+ filgrastimum|DRUG: carboplatin + paclitaxel (CP),Blokhin's Russian Cancer Research Center,,INTERVENTIONAL
NCT06222879,Study of HRS-8080 or SHR-A2009 Combined With Anti-tumor Therapy in Patients With Unresectable or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06222879,RECRUITING,Breast Cancer,DRUG: HRS-8080; SHR-A1811|DRUG: HRS-8080; SHR-A2009|DRUG: SHR-A2009; SHR-1316,"Shandong Suncadia Medicine Co., Ltd.",,INTERVENTIONAL
NCT06351332,ZAP-IT: ZN-c3 + Carboplatin + Pembrolizumab in MTNBC,https://clinicaltrials.gov/study/NCT06351332,RECRUITING,Breast Cancer|Breast Cancer Female|Triple Negative Breast Cancer|Hormone Receptor Negative Malignant Tumor Breast Triple|HER2-negative Breast Cancer,DRUG: Azenosertib|DRUG: Carboplatin|DRUG: Pembrolizumab,"Filipa Lynce, MD",Merck Sharp & Dohme LLC|Zentalis Pharmaceuticals,INTERVENTIONAL
NCT06510465,Neoadjuvant Therapy With Weekly Utidelone Combined With Cisplatin for Patients With Breast Cancer (NeoURANIA),https://clinicaltrials.gov/study/NCT06510465,NOT_YET_RECRUITING,Breast Cancer,DRUG: utidelone|DRUG: Cisplatin|DRUG: Trastuzumab|DRUG: Pertuzumab,RenJi Hospital,,INTERVENTIONAL
NCT06434077,Clinical Trial Protocol: Randomized Placebo-Controlled Pilot Study of GcMAF (Soloways TM) in Patients With Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06434077,NOT_YET_RECRUITING,Breast Cancer,BIOLOGICAL: GcMAF injections (100 ng)|OTHER: placebo,S.LAB (SOLOWAYS),Center of New Medical Technologies,INTERVENTIONAL
NCT05074290,Pharmacokinetics and Safety of Epidiferphane and Taxanes in Breast Cancer Patients,https://clinicaltrials.gov/study/NCT05074290,RECRUITING,Breast Cancer,DRUG: Epidiferphane|DRUG: Taxane Chemotherapy,University of Florida,,INTERVENTIONAL
NCT07067307,Melatonin in Breast Cancer Patients Receiving Neoadjuvant Chemotherapy,https://clinicaltrials.gov/study/NCT07067307,NOT_YET_RECRUITING,Breast Cancer,DRUG: melatonin|DRUG: Placebo,Mansoura University,,INTERVENTIONAL
NCT04563507,Combined Immunotherapies in Metastatic ER+ Breast Cancer,https://clinicaltrials.gov/study/NCT04563507,RECRUITING,Breast Cancer,RADIATION: Stereotactic Body Radiation Therapy (SBRT) (50GY in 5 fractions)|DRUG: Letrozole 2.5Mg Tab|DRUG: Palbociclib 125mg,Weill Medical College of Cornell University,,INTERVENTIONAL
NCT06975475,SHR-A1811 and THPy in First or Second Line for HER2 Positive Advanced Breast Cancer Brain Metastases,https://clinicaltrials.gov/study/NCT06975475,NOT_YET_RECRUITING,Breast Cancer,"DRUG: SHR-A1811,tratuzumab,pyrotinib,Nab-Paclitaxel","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",,INTERVENTIONAL
NCT07246317,"Evaluation of Neoadjuvant Therapy With Trastuzumab, Pertuzumab, Docetaxel, and QL1706 in Early or Locally Advanced HER2+ Breast Cancer",https://clinicaltrials.gov/study/NCT07246317,NOT_YET_RECRUITING,Breast Cancer,DRUG: QL1706 injection|DRUG: Trastuzumab (or biosimilar)|DRUG: Pertuzumab (or biosimilar)|DRUG: Docetaxel|DRUG: Carboplatin,Tianjin Medical University Cancer Institute and Hospital,,INTERVENTIONAL
NCT04841148,Avelumab or Hydroxychloroquine with or Without Palbociclib to Eliminate Dormant Breast Cancer,https://clinicaltrials.gov/study/NCT04841148,RECRUITING,Breast Cancer,DRUG: HCQ|DRUG: Avelumab|DRUG: Palbociclib,Abramson Cancer Center at Penn Medicine,Johns Hopkins University|Translational Breast Cancer Research Consortium|Pfizer|Breast Cancer Research Foundation,INTERVENTIONAL
NCT06207734,"Discontinuation of CDK4/6 Inhibitors in Patients With Metastatic HR Positive, HER2 Negative Breast Cancer",https://clinicaltrials.gov/study/NCT06207734,RECRUITING,Breast Cancer,DRUG: Continuation of CDK4/6 inhibitor Palbociclib|DRUG: Discontinuation of CDK4/6 inhibitor Palbociclib|DRUG: Continuation of CDK4/6 inhibitor -Palbociclib|DRUG: Discontinuation of CDK4/6 inhibitor -Palbociclib|DRUG: Continuation of CDK4/6 inhibitor Abemaciclib|DRUG: Discontinuation of CDK4/6 inhibitor Abemaciclib,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,,INTERVENTIONAL
NCT06404697,Boost Irradiation to the Supraclavicular Area Among High Risk cN3c Breast Cancer Patients,https://clinicaltrials.gov/study/NCT06404697,RECRUITING,Breast Cancer,RADIATION: Boost irradiation,Ruijin Hospital,,INTERVENTIONAL
NCT07220135,Trial of Neoadjuvant THP vs TCHP for HER2-Amplified/Positive Breast Cancer,https://clinicaltrials.gov/study/NCT07220135,NOT_YET_RECRUITING,Breast Cancer,DRUG: Carboplatin|DRUG: Docetaxel|DRUG: Trastuzumab (or biosimilar)|DRUG: Pertuzumab (or biosimilar),University of Kansas Medical Center,,INTERVENTIONAL
NCT06185972,Novel Magnetic Resonance Imaging-Guided Ultrasound-Stimulated Microbubble Radiation Treatment for Patients With Chest-Wall and Breast Cancer,https://clinicaltrials.gov/study/NCT06185972,RECRUITING,Breast Cancer,DRUG: Definity|DEVICE: Sonalleve Focused Ultrasound Device,Sunnybrook Health Sciences Centre,Terry Fox Research Institute,INTERVENTIONAL
NCT06492616,"A Study of Elacestrant Versus Standard Endocrine Therapy in Women and Men With ER+,HER2-, Early Breast Cancer With High Risk of Recurrence",https://clinicaltrials.gov/study/NCT06492616,RECRUITING,Breast Cancer,DRUG: Elacestrant|DRUG: Anastrozole|DRUG: Letrozole|DRUG: Exemestane|DRUG: Tamoxifen,"Stemline Therapeutics, Inc.",,INTERVENTIONAL
NCT03924466,Repeatability of 68-GaNOTA-Anti-HER2 VHH1 PET/CT in Breast Carcinoma Patients,https://clinicaltrials.gov/study/NCT03924466,RECRUITING,Metastatic Breast Carcinoma|Locally Advanced Breast Cancer|Cancer of Pancreas|Solid Tumor With Intermediate or High HER2 Expression|Salivary Gland Cancer|Gastric Cancer|Endometrial Cancer|Uterine Cancer|Non Small Cell Lung Cancer|Biliary Tract Cancer|Cholangiocarcinoma|Colorectal Cancer|Urothelial Carcinoma|Prostate Cancer,DRUG: 68GaNOTA-Anti-HER2 VHH1,Universitair Ziekenhuis Brussel,"Kom Op Tegen Kanker|Agentschap voor Innovatie door Wetenschap en Technologie, Project Toegepast Biomedisch onderzoek met een primair Maatschappelijke finaliteit.",INTERVENTIONAL
NCT07300215,An Exploratory Study on Individualized Neoadjuvant Treatment Regimens for Early HR+/HER2+ Breast Cancer,https://clinicaltrials.gov/study/NCT07300215,NOT_YET_RECRUITING,Breast Cancer,DRUG: individualized neoadjuvant treatment,The First Affiliated Hospital of Bengbu Medical University,,INTERVENTIONAL
NCT07162298,Dragon Boat Race Versus Family Unsupervised Training to Improve the Physical Function and Quality of Life in Breast Cancer Patients,https://clinicaltrials.gov/study/NCT07162298,RECRUITING,Breast Cancer,OTHER: Dragon Boat Training|OTHER: Home-based Unsupervised Training,First Affiliated Hospital of Zhejiang University,,INTERVENTIONAL
NCT06178159,DV in Combination With Pertuzumab With or Without Toripalimab Neoadjuvant Therapy With HER2-positive Breast Cancer,https://clinicaltrials.gov/study/NCT06178159,RECRUITING,Breast Cancer,DRUG: Disitamab Vedotin Injection|DRUG: Pertuzumab Injection|DRUG: Toripalimab,"RemeGen Co., Ltd.",,INTERVENTIONAL
NCT06802757,Posaconazole Plus Pembrolizumab and Chemotherapy vs Pembrolizumab and Chemotherapy in Neoadjuvant Therapy for Triple Negative Breast Cancer,https://clinicaltrials.gov/study/NCT06802757,RECRUITING,Breast Cancer,DRUG: Posaconazole|DRUG: Nab-paclitaxel|DRUG: Carboplatin|DRUG: Anthracycline|DRUG: Cyclophosphamide|DRUG: Pembrolizumab,Shandong Cancer Hospital and Institute,,INTERVENTIONAL
NCT05900206,Trastuzumab Deruxtecan Versus Standard Neoadjuvant Treatment for HER2-positive Breast Cancer,https://clinicaltrials.gov/study/NCT05900206,RECRUITING,Breast Cancer,DRUG: Trastuzumab deruxtecan|DRUG: Docetaxel|DRUG: Paclitaxel|DRUG: Carboplatin|DRUG: Trastuzumab|DRUG: Pertuzumab|DRUG: Ribociclib|DRUG: Letrozole|DRUG: Epirubicin|DRUG: Cyclophosphamide,Karolinska University Hospital,,INTERVENTIONAL
NCT06665178,Genomic and Transcriptomic Predictors of Sequential SG Sensitivity After T-DXd in ER+/HER2-Low Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06665178,RECRUITING,Breast Cancer,DRUG: Sacituzumab Govitecan,British Columbia Cancer Agency,Gilead Sciences,INTERVENTIONAL
NCT06364267,Low Dose Exemestane vs Low Dose Tamoxifen in Post-menopausal Women at High Risk for Breast Cancer.,https://clinicaltrials.gov/study/NCT06364267,RECRUITING,Breast Cancer,DRUG: Tamoxifen 10 MG|DRUG: Exemestane 25 MG,Andrea DeCensi,Dana-Farber/Brigham and Women's Cancer Center|Herbert Irving Comprehensive Cancer Center|Istituto Europeo di Oncologia|Breast Cancer Research Foundation,INTERVENTIONAL
NCT07159451,"A Short-term Preoperative, Evaluating Activity and Safety of Elacestrant Monotherapy as Compared to Elacestrant + Ovarian Function Suppression (LHRH Agonist) in Premenopausal Patients With Stage I-II ER+/HER2- Breast Cancer",https://clinicaltrials.gov/study/NCT07159451,RECRUITING,Breast Cancer,DRUG: Elacestrant|DRUG: Leuprorelin,"Gustave Roussy, Cancer Campus, Grand Paris",Menarini Group,INTERVENTIONAL
NCT04567420,"DNA-guided Second Line Adjuvant Therapy for High Residual Risk, Estrogen Receptor Positive, HER-2 Negative Breast Cancer (DARE)",https://clinicaltrials.gov/study/NCT04567420,RECRUITING,Breast Cancer,DRUG: Palbociclib|DRUG: Fulvestrant|DRUG: Adjuvant Therapy,"Criterium, Inc.",,INTERVENTIONAL
NCT06757634,"Phase 3 Study of Gedatolisib as First-Line Treatment for Patients With HR-Positive, HER2-Negative Advanced Breast Cancer (VIKTORIA-2)",https://clinicaltrials.gov/study/NCT06757634,RECRUITING,Breast Cancer,DRUG: Arm A: Gedatolisib + Palbociclib or Ribociclib + Fulvestrant|DRUG: Arm B: Palbociclib or Ribociclib + Fulvestrant,Celcuity Inc,,INTERVENTIONAL
NCT06498154,Eliminating Breast Surgery for Breast Cancer Patients With Clinical Complete Response to Neoadjuvant Systemic Therapy,https://clinicaltrials.gov/study/NCT06498154,RECRUITING,Breast Cancer,RADIATION: Neoadjuvant Chemotherapy combined with Neoadjuvant Radiotherapy,Tianjin Medical University Cancer Institute and Hospital,The First Affiliated Hospital of Zhengzhou University|The First Affiliated Hospital of Hainan Medical University|Shandong Cancer Hospital and Institute|First Affiliated Hospital of Kunming Medical University|Chongqing University Cancer Hospital|Tangshan People's Hospital|Taizhou Hospital,INTERVENTIONAL
